,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,BsmtQual_Ex,TotRmsAbvGrd,SalePrice
554,7,2046,3,871,998,1006,2,0,8,284000
555,5,1048,1,280,993,1048,1,0,5,113000
556,5,1092,1,299,1092,1092,1,0,6,141000
557,4,1336,1,570,637,897,1,0,7,108000
558,7,1446,2,406,729,729,2,0,6,175000
559,7,1557,2,420,1374,1557,2,0,7,234000
560,5,1392,2,528,1392,1392,1,0,5,121500
561,5,1389,2,418,1389,1389,1,0,6,170000
562,5,996,0,0,996,996,1,0,6,108000
563,6,1674,2,396,1163,1163,2,0,8,185000
564,7,2295,2,590,1095,1166,2,0,9,268000
565,6,1647,1,216,806,841,1,0,6,128000
566,9,2504,3,656,1122,1134,2,0,11,325000
567,7,1535,2,532,1517,1535,2,0,7,214000
568,8,2132,2,612,1496,1496,1,0,5,316600
569,5,943,2,600,943,943,1,0,4,135960
570,5,1728,2,576,1728,1728,2,0,10,142600
571,6,864,1,288,864,864,1,0,4,120000
572,7,1692,2,650,846,846,2,1,6,224500
573,7,1430,2,400,384,774,2,0,8,170000
574,5,1109,1,288,372,576,1,0,5,139000
575,5,1216,1,336,832,832,1,0,6,118500
576,7,1477,1,216,861,877,2,0,6,145000
577,5,1320,2,564,1164,1320,1,0,6,164500
578,7,1392,2,540,689,703,2,0,5,146000
579,5,1795,1,352,1050,1050,2,0,7,131500
580,6,1429,2,572,1144,1429,1,0,7,181900
581,8,2042,3,1390,2042,2042,2,1,8,253293
582,6,816,0,0,816,816,1,0,5,118500
583,10,2775,2,880,1237,1521,3,0,9,325000
584,4,1573,1,240,884,989,1,0,6,133000
585,8,2028,3,880,1868,2028,2,1,7,369900
586,6,838,1,275,816,838,1,0,5,130000
587,5,860,2,528,840,860,1,0,4,137000
588,5,1473,1,452,1437,1473,1,0,5,143000
589,5,935,1,308,742,779,1,0,4,79500
590,7,1582,2,520,770,770,2,0,6,185900
591,10,2296,3,842,1722,1728,2,1,10,451950
592,5,816,2,816,816,816,1,0,4,138000
593,6,848,2,420,848,848,1,0,4,140000
594,5,924,1,280,924,924,1,0,5,110000
595,8,1826,3,758,1814,1826,2,0,7,319000
596,6,1368,1,216,684,684,1,0,7,114504
597,7,1402,3,648,1258,1402,0,1,7,194201
598,5,1647,2,621,1430,1647,2,0,7,217500
599,6,1556,2,452,716,716,2,0,6,151000
600,8,1904,2,736,1058,1058,2,0,8,275000
601,6,1375,1,544,780,780,1,0,6,141000
602,8,1915,2,506,908,927,2,0,8,220000
603,7,1200,2,480,600,600,2,0,4,151000
604,7,1494,2,530,1494,1494,2,0,6,221000
605,7,1986,2,486,768,1186,2,0,7,205000
606,5,1040,2,576,1040,1040,1,0,6,152000
607,5,2008,1,230,896,1112,3,0,8,225000
608,8,3194,2,380,965,1940,2,0,10,359100
609,4,1029,1,261,1029,1029,1,0,5,118500
610,9,2153,3,736,1440,1476,2,1,8,313000
611,6,1032,2,564,1032,1032,2,0,6,148000
612,8,1872,2,531,1299,1299,2,0,7,261500
613,5,1120,0,0,1120,1120,1,0,6,147000
614,4,630,0,0,630,630,1,0,3,75500
615,6,1054,2,480,936,1054,1,0,6,137500
616,6,1509,2,393,783,807,2,0,7,183200
617,6,832,2,528,832,832,1,0,4,105500
618,9,1828,3,774,1822,1828,2,1,9,314813
619,8,2262,3,749,1482,1482,2,0,10,305000
620,3,864,0,0,864,864,1,0,5,67000
621,6,2614,2,624,1522,1548,2,0,9,240000
622,5,980,2,484,980,980,1,0,6,135000
623,6,1512,2,440,756,756,2,0,4,168500
624,6,1790,2,484,732,1012,1,0,8,165150
625,6,1116,2,440,1116,1116,1,0,5,160000
626,5,1422,1,286,978,1422,1,0,6,139900
627,6,1520,1,364,1156,1520,1,0,7,153000
628,5,2080,2,504,1040,1040,1,0,9,135000
629,6,1350,2,520,1248,1350,1,0,6,168500
630,5,1750,1,240,636,1089,1,0,8,124000
631,8,1554,2,627,1554,1554,2,0,6,209500
632,7,1411,2,544,1386,1411,2,0,6,82500
633,5,1056,1,260,1056,1056,1,0,6,139400
634,6,1056,2,576,1056,1056,0,0,4,144000
635,6,3395,0,0,1440,1440,2,0,14,200000
636,2,800,0,0,264,800,1,0,4,60000
637,5,1387,1,256,811,811,2,0,7,93000
638,5,796,0,0,796,796,1,0,4,85000
639,8,1567,3,648,1520,1567,2,0,7,264561
640,8,1518,2,588,1518,1518,1,1,6,274000
641,7,1929,2,650,1057,1057,2,0,7,226000
642,8,2704,2,538,1952,2000,2,0,9,345000
643,5,1620,2,462,780,780,2,0,7,152000
644,9,1766,3,478,1766,1766,2,1,7,370878
645,6,981,2,576,981,981,1,0,5,143250
646,5,1048,2,420,0,1048,1,0,7,98300
647,6,1094,2,495,1094,1094,1,0,5,155000
648,6,1839,2,442,756,1051,1,0,7,155000
649,4,630,0,0,630,630,1,0,3,84500
650,7,1665,2,562,813,822,2,0,7,205950
651,4,1510,1,296,755,755,1,0,7,108000
652,7,1716,2,512,880,909,2,0,7,191000
653,6,1469,1,216,756,756,1,0,7,135000
654,8,2113,3,839,2109,2113,2,0,7,350000
655,6,1092,1,264,525,525,1,0,6,88000
656,5,1053,1,312,1053,1053,1,0,5,145500
657,7,1502,1,270,776,851,1,0,6,149000
658,6,1458,1,330,912,912,1,0,6,97500
659,5,1486,2,480,1486,1486,1,0,7,167000
660,7,1935,2,550,793,1142,2,0,7,197900
661,8,2448,3,711,1629,1686,2,0,8,402000
662,6,1392,2,576,1392,1392,1,0,5,110000
663,4,1181,2,588,1138,1181,2,0,6,137500
664,8,2097,3,1134,2077,2097,1,1,8,423000
665,8,1936,2,504,1406,1454,2,0,7,230500
666,6,2380,2,596,1021,1465,2,0,7,129000
667,6,1679,2,575,1408,1679,2,0,7,193500
668,5,1437,2,576,1188,1437,1,0,6,168000
669,4,1180,1,252,700,1180,1,0,5,137500
670,6,1476,2,540,738,738,2,0,7,173500
671,6,1369,1,300,672,697,2,0,6,103600
672,6,1208,2,546,1208,1208,1,0,6,165000
673,6,1839,2,416,1477,1839,2,0,7,257500
674,6,1136,1,384,1136,1136,1,0,5,140000
675,6,1441,2,440,855,855,2,0,7,148500
676,4,1774,3,779,1095,1095,2,0,8,87000
677,5,792,1,240,768,792,1,0,5,109500
678,8,2046,3,834,2046,2046,2,1,7,372500
679,5,988,2,572,988,988,1,0,5,128500
680,6,923,1,264,923,923,2,0,5,143000
681,5,1520,1,281,793,848,1,0,6,159434
682,6,1291,2,431,1291,1291,1,0,6,173000
683,9,1668,3,702,1626,1668,2,0,7,285000
684,7,1839,2,486,1195,1195,2,0,7,221000
685,7,2090,2,577,1190,1190,2,0,6,207500
686,7,1761,2,578,874,874,3,0,7,227875
687,7,1102,2,480,551,551,2,0,4,148800
688,8,1419,2,567,1419,1419,2,0,7,392000
689,6,1362,2,460,1362,1362,2,0,6,194700
690,6,848,2,420,848,848,1,0,3,141000
691,10,4316,3,832,2444,2444,3,1,10,755000
692,7,2519,2,628,1210,1238,2,0,9,335000
693,5,1073,1,326,1073,1073,1,0,4,108480
694,5,1539,2,576,927,1067,1,0,5,141500
695,6,1137,2,551,1112,1137,2,0,5,176000
696,5,616,1,205,616,616,1,0,4,89000
697,5,1148,1,308,980,1148,1,1,6,123500
698,5,894,1,336,894,894,1,0,5,138500
699,7,1391,2,530,1391,1391,2,0,5,196000
700,8,1800,3,765,1800,1800,2,1,7,312500
701,7,1164,2,528,1164,1164,1,0,6,140000
702,8,2576,3,666,1234,1264,2,1,10,361919
703,5,1812,2,672,360,1032,2,0,8,140000
704,7,1484,2,606,1473,1484,2,0,7,213000
705,4,1092,0,0,0,372,2,0,7,55000
706,7,1824,2,739,1643,1824,2,0,5,302000
707,8,1324,2,550,1324,1324,2,0,6,254000
708,7,1456,2,400,728,728,2,0,8,179540
709,5,904,1,408,876,904,1,0,6,109900
710,3,729,0,0,270,729,1,0,5,52000
711,4,1178,1,384,859,859,1,0,7,102776
712,8,1228,2,472,1228,1228,2,0,5,189000
713,4,960,2,576,960,960,1,0,6,129000
714,6,1479,2,475,725,725,2,0,6,130500
715,6,1350,2,478,1064,1350,2,0,7,165000
716,7,2554,2,704,718,1576,1,0,8,159500
717,5,1178,2,439,1176,1178,1,0,5,157000
718,7,2418,3,983,1311,1325,2,0,9,341000
719,5,971,1,300,971,971,1,0,5,128500
720,8,1742,2,564,1742,1742,2,0,5,275000
721,6,848,2,420,848,848,1,0,3,143000
722,4,864,2,463,864,864,1,0,5,124500
723,4,1470,1,548,941,997,2,0,7,135000
724,9,1698,3,768,1698,1698,2,1,8,320000
725,4,864,2,660,864,864,1,0,5,120500
726,6,1680,2,540,880,1680,2,0,5,222000
727,7,1232,2,632,1232,1232,2,0,6,194500
728,5,1776,3,888,1584,1776,2,0,9,110000
729,4,1208,2,539,780,848,1,0,5,103000
730,8,1616,2,608,1595,1616,2,0,5,236500
731,7,1146,2,438,868,1146,2,1,6,187500
732,7,2031,2,541,1153,1153,2,0,8,222500
733,5,1144,1,264,864,1144,1,0,6,131400
734,5,948,1,300,948,948,1,0,6,108000
735,7,1768,2,320,880,880,1,0,6,163000
736,3,1040,2,400,0,1040,2,0,6,93500
737,8,1801,3,800,893,901,2,0,8,239900
738,5,1200,0,0,1200,1200,3,0,5,179000
739,7,1728,2,572,864,864,2,0,7,190000
740,5,1432,2,360,264,768,2,0,7,132000
741,6,912,1,288,912,912,1,0,5,142000
742,7,1349,2,539,1349,1349,2,0,6,179000
743,5,1464,2,480,520,1464,2,0,6,175000
744,8,1337,2,462,1337,1337,2,0,5,180000
745,8,2715,2,831,1142,1175,3,0,11,299800
746,7,2256,2,554,952,980,2,0,8,236000
747,7,2640,4,864,1240,1320,1,0,8,265979
748,7,1720,2,527,1720,1720,2,0,7,260400
749,4,1529,1,240,0,1088,2,0,9,98000
750,4,1140,0,0,576,792,1,0,7,96500
751,7,1320,2,400,660,660,2,0,6,162000
752,6,1494,2,576,1479,1494,2,0,6,217000
753,8,2098,3,878,1030,1038,2,0,8,275500
754,6,1026,2,440,1026,1026,1,0,5,156000
755,6,1471,2,440,729,742,2,0,6,172500
756,8,1768,2,578,866,866,2,0,7,212000
757,6,1386,2,440,672,672,2,0,6,158900
758,7,1501,2,440,744,757,2,0,6,179400
759,8,2531,3,752,1318,1328,2,0,9,290000
760,6,864,1,300,864,864,1,0,5,127500
761,5,1301,2,440,1145,1301,1,0,5,100000
762,7,1547,2,614,756,764,2,0,7,215200
763,8,2365,3,856,1252,1268,2,0,8,337000
764,8,1494,2,481,1494,1494,1,0,6,270000
765,9,1506,2,592,1498,1506,2,0,6,264132
766,7,1714,2,496,980,980,2,0,7,196500
767,6,1750,1,423,983,983,2,0,7,160000
768,7,1836,2,484,1860,1836,2,0,8,216837
769,8,3279,3,841,1650,1690,3,0,12,538000
770,5,858,2,576,858,858,1,0,5,134900
771,4,1220,2,396,836,1220,1,0,6,102000
772,6,1117,2,672,1029,1117,1,0,6,107000
773,5,912,1,275,912,912,1,0,5,114500
774,8,1973,3,895,1935,1973,2,0,9,395000
775,6,1204,2,412,1204,1204,2,1,5,162000
776,7,1614,3,865,1614,1614,2,0,7,221500
777,5,894,2,440,864,894,1,0,5,142500
778,5,2020,2,630,0,2020,2,0,10,144000
779,6,1004,2,504,975,1004,1,0,4,135000
780,7,1253,2,402,1237,1253,2,0,6,176000
781,6,1603,2,484,761,810,2,0,7,175900
782,7,1430,2,605,1413,1430,2,0,6,187100
783,5,1110,2,602,1097,1110,1,0,4,165500
784,6,1484,0,0,742,742,2,0,9,128000
785,6,1342,2,457,1372,1342,2,0,7,161500
786,5,1652,1,416,686,966,2,0,7,139000
787,7,2084,2,618,956,956,2,0,8,233000
788,4,901,1,281,901,901,1,0,4,107900
789,6,2087,2,444,832,976,2,0,9,187500
790,7,1145,2,397,1145,1145,2,0,5,160200
791,6,1062,2,539,1029,1062,1,0,5,146800
792,7,2013,2,455,1117,1127,2,0,8,269790
793,8,1496,2,474,1496,1496,2,0,7,225000
794,7,1895,2,409,712,1086,2,0,7,194500
795,6,1564,2,476,650,888,2,0,7,171000
796,6,1285,2,528,660,1285,1,0,7,143500
797,5,773,1,240,773,773,1,0,4,110000
798,9,3140,3,820,1926,1966,3,1,11,485000
799,5,1768,1,240,731,981,1,0,7,175000
800,6,1688,2,603,616,616,2,0,8,200000
801,4,1196,2,440,1196,1196,1,0,5,109900
802,7,1456,2,410,728,728,2,0,7,189000
803,9,2822,3,1020,1734,1734,3,1,12,582933
804,5,1128,1,286,936,1128,1,0,5,118000
805,7,1428,2,554,1417,1428,2,0,6,227680
806,5,980,1,384,980,980,2,0,6,135500
807,5,1576,2,528,1324,1072,1,0,6,223500
808,5,1086,2,484,1024,1086,1,0,6,159950
809,5,2138,2,360,849,1075,2,0,11,106000
810,6,1309,2,484,1040,1309,1,0,5,181000
811,6,848,2,420,848,848,1,0,4,144500
812,5,1044,2,504,540,1044,1,0,4,55993
813,6,1442,1,301,1442,1442,1,0,7,157900
814,5,1250,1,280,686,686,1,0,7,116000
815,7,1661,2,598,1649,1661,2,0,6,224900
816,5,1008,1,275,1008,1008,1,0,4,137000
817,8,1689,3,857,1568,1689,2,0,7,271000
818,6,1052,2,440,1010,1052,1,0,6,155000
819,7,1358,2,484,1358,1358,2,0,6,224000
820,7,1640,2,595,798,798,2,0,6,183000
821,4,936,2,576,936,936,1,0,4,93000
822,7,1733,2,433,847,847,2,0,7,225000
823,6,1489,1,240,778,944,2,0,7,139500
824,8,1489,2,776,1489,1489,2,0,7,232600
825,10,2084,3,1220,2078,2084,2,1,7,385000
826,5,784,0,0,784,784,1,0,5,109500
827,7,1434,2,527,1454,1434,2,0,6,189000
828,5,2126,2,538,1013,1160,2,0,7,185000
829,7,1223,2,480,600,520,2,0,4,147400
830,6,1392,2,458,1392,1392,1,0,6,166000
831,7,1200,2,480,600,520,2,0,4,151000
832,7,1829,2,613,941,941,2,0,7,237000
833,6,1516,2,472,1516,1516,1,0,6,167000
834,5,1144,2,456,1144,1144,1,0,6,139950
835,4,1067,2,436,1067,1067,2,0,4,128000
836,5,1559,2,812,1559,1559,1,0,5,153500
837,6,987,1,264,483,483,1,0,5,100000
838,5,1099,1,352,1099,1099,1,0,6,144000
839,5,1200,1,240,768,768,1,0,6,130500
840,6,1482,1,400,672,810,2,0,7,140000
841,5,1539,2,686,650,958,2,0,8,157500
842,6,1165,2,490,1127,1165,1,0,6,174900
843,5,1800,0,0,1800,1800,2,0,10,141000
844,5,1416,3,720,876,876,1,0,7,153900
845,5,1701,2,611,1390,1701,2,0,6,171000
846,7,1775,2,425,740,1006,2,0,7,213000
847,5,864,1,338,864,864,1,0,5,133500
848,6,2358,2,360,907,1307,3,0,10,240000
849,6,1855,2,512,528,1094,2,0,7,187000
850,6,848,2,420,848,848,1,0,3,131500
851,8,1456,2,400,1273,1456,2,0,7,215000
852,7,1646,1,240,918,918,2,0,7,164000
853,6,1445,2,645,1127,1445,1,0,7,158000
854,5,1779,2,454,1763,1779,1,0,6,170000
855,5,1040,1,260,1040,1040,1,0,6,127000
856,6,1026,2,576,940,1026,1,0,5,147000
857,6,1481,2,343,702,702,2,0,6,174000
858,7,1370,2,479,1090,1370,2,0,6,152000
859,6,2654,2,619,1054,1512,2,0,9,250000
860,7,1426,1,216,912,912,1,0,7,189950
861,5,1039,2,504,1039,1039,1,0,6,131500
862,6,1097,2,480,1040,1097,2,0,6,152000
863,5,1148,1,672,1148,1148,1,0,6,132500
864,7,1372,2,529,1372,1372,2,1,6,250580
865,5,1002,2,902,1002,1002,1,0,5,148500
866,8,1646,3,870,1638,1646,2,0,6,248900
867,4,1120,2,544,1040,1120,1,0,5,129000
868,5,2320,2,672,0,1547,2,0,7,169000
869,7,1949,2,574,1050,1062,2,0,8,236000
870,5,894,1,308,894,894,1,0,5,109500
871,6,1682,2,523,804,804,2,0,7,200500
872,5,910,2,414,105,910,1,0,5,116000
873,5,1268,1,288,832,1036,1,0,6,133000
874,5,1131,1,200,676,676,1,0,5,66500
875,8,2610,2,550,1184,1184,2,0,11,303477
876,4,1040,2,648,1064,1040,1,0,5,132250
877,9,2224,3,738,1462,1462,2,1,10,350000
878,5,1155,2,576,1109,1155,1,0,6,148000
879,5,864,1,336,864,864,1,0,6,136500
880,5,1090,2,450,1090,1090,1,1,5,157000
881,7,1717,2,400,1156,1187,2,0,7,187500
882,6,1593,2,389,808,808,2,0,7,178000
883,4,2230,1,440,795,954,1,0,10,118500
884,5,892,1,288,892,892,1,0,5,100000
885,9,1709,2,506,1698,1709,2,1,5,328900
886,5,1712,2,588,1626,1712,2,0,8,145000
887,5,1393,1,300,816,872,1,0,8,135500
888,8,2217,2,621,2217,2217,2,0,8,268000
889,6,1505,2,505,1505,1505,1,0,6,149500
890,5,924,2,576,672,672,1,0,6,122900
891,6,1683,2,440,918,918,2,0,7,172500
892,6,1068,1,264,1059,1068,1,0,6,154500
893,5,1383,1,354,1383,1383,1,0,6,165000
894,5,1535,2,400,0,1535,2,0,8,118858
895,6,1796,2,483,780,983,1,0,8,140000
896,4,951,1,327,951,951,1,0,6,106500
897,5,2240,2,528,0,1120,2,0,12,142953
898,9,2364,3,820,2330,2364,2,1,11,611657
899,5,1236,1,288,912,1236,1,0,6,135000
900,4,858,1,684,858,858,1,0,4,110000
901,5,1306,1,756,992,1306,1,0,5,153000
902,7,1509,2,393,783,807,2,0,8,180000
903,7,1670,3,690,1670,1670,2,0,7,240000
904,5,902,1,288,876,902,1,0,6,125500
905,5,1063,1,280,1056,1063,1,0,6,128000
906,8,1636,3,865,1623,1636,2,0,8,255000
907,7,2057,1,180,1017,1020,1,0,6,250000
908,5,902,2,484,864,902,1,0,5,131000
909,6,1484,2,390,742,742,2,0,8,174000
910,5,2274,2,480,1105,1105,2,0,12,154300
911,5,1268,1,252,1268,1268,1,0,5,143500
912,5,1015,1,450,768,1015,1,0,6,88000
913,5,2002,3,871,1001,1001,2,0,8,145000
914,6,1224,2,528,612,612,2,0,4,173733
915,4,1092,1,286,546,546,1,0,6,75000
916,2,480,1,308,480,480,0,0,4,35311
917,4,1229,1,284,1134,1229,1,0,6,135000
918,7,2127,3,833,1104,912,2,1,8,238000
919,6,1414,2,601,1184,1414,1,0,6,176500
920,6,1721,2,471,928,936,2,0,7,201000
921,5,2200,0,0,1272,1272,2,0,9,145900
922,6,1316,2,397,1316,1316,2,0,6,169990
923,6,1617,2,533,1604,1617,2,0,5,193000
924,6,1686,2,612,1686,1686,2,0,7,207500
925,5,1126,2,540,1126,1126,2,0,6,175000
926,8,2374,3,656,1181,1234,2,0,10,285000
927,7,1978,2,486,832,1098,2,0,9,176000
928,8,1788,2,522,1753,1788,2,0,7,236500
929,7,2236,2,642,964,993,2,0,8,222000
930,8,1466,3,610,1466,1466,2,0,7,201000
931,5,925,1,429,925,925,1,0,5,117500
932,9,1905,3,788,1905,1905,2,1,8,320000
933,7,1500,2,570,1500,1500,2,0,6,190000
934,7,2069,2,505,585,2069,2,0,9,242000
935,4,747,2,528,600,747,1,0,5,79900
936,7,1200,2,555,1176,1200,2,0,5,184900
937,7,1971,2,689,1113,1113,2,0,8,253000
938,7,1962,3,868,1391,1391,2,0,7,239799
939,7,2403,1,349,1032,1207,2,0,10,244400
940,6,1728,2,574,1728,1728,2,0,8,150900
941,7,2060,2,390,992,1022,2,0,8,214000
942,4,1440,0,0,1440,1440,2,0,8,150000
943,5,1632,2,576,1632,1632,2,0,8,143000
944,6,1344,2,525,819,1344,1,0,7,137500
945,5,1869,2,456,1088,1188,1,0,7,124900
946,5,1144,1,796,1144,1144,1,0,6,143000
947,8,1629,3,808,1616,1629,2,0,9,270000
948,7,1776,2,474,936,936,2,0,7,192500
949,6,1381,2,676,1161,1381,1,0,5,197500
950,5,864,2,720,864,864,1,0,5,129000
951,5,965,1,300,828,965,1,0,6,119900
952,5,768,1,396,768,768,1,0,5,133900
953,5,1968,2,530,784,1168,2,0,7,172000
954,6,980,0,0,945,980,2,0,4,127500
955,6,1958,2,492,979,979,2,0,8,145000
956,6,1229,2,462,561,561,1,0,5,124000
957,5,1057,2,576,1057,1057,1,0,6,132000
958,7,1337,2,531,1337,1337,2,0,6,185000
959,7,1416,2,484,696,696,2,0,6,155000
960,5,858,0,0,858,858,1,0,4,116500
961,6,2872,2,619,1330,1542,2,0,11,272000
962,6,1548,2,440,804,804,2,0,7,155000
963,9,1800,2,702,1800,1800,2,1,7,239000
964,7,1894,2,510,817,824,2,0,8,214900
965,6,1484,2,393,783,783,2,0,8,178900
966,5,1308,1,256,728,976,1,0,7,160000
967,5,1098,1,260,1098,1098,1,0,6,135000
968,3,968,0,0,600,600,1,0,6,37900
969,6,1095,1,264,588,1095,1,0,6,140000
970,4,1192,0,0,720,720,1,0,6,135000
971,7,1626,2,474,764,764,2,0,6,173000
972,6,918,1,264,918,918,2,0,5,99500
973,7,1428,2,480,1428,1428,2,0,6,182000
974,7,2019,2,532,728,1136,1,0,8,167500
975,7,1382,2,490,673,673,2,0,6,165000
976,4,869,0,0,440,869,1,0,4,85500
977,7,1241,2,569,1241,1241,1,0,4,199900
978,4,894,2,400,894,894,1,0,5,110000
979,5,1121,2,480,1121,1121,1,0,5,139000
980,7,999,2,588,944,999,1,0,6,178400
981,8,2612,3,676,1225,1276,2,0,8,336000
982,7,1266,2,388,1266,1266,2,0,6,159895
983,8,2290,2,779,1128,1149,2,0,9,255900
984,5,1734,2,539,0,1302,2,0,8,126000
985,5,1164,1,240,1164,1164,1,0,5,125000
986,6,1635,1,255,485,1001,1,0,5,117000
987,9,1940,3,606,1930,1940,2,1,8,395192
988,6,2030,2,551,848,1118,2,0,8,195000
989,7,1576,2,614,770,778,2,0,6,197000
990,8,2392,3,870,1396,1407,2,0,7,348000
991,8,1742,2,424,916,916,1,0,8,168000
992,6,1851,2,440,822,1020,2,0,7,187000
993,6,1500,2,564,750,750,2,0,6,173900
994,10,1718,3,786,1700,1718,2,1,7,337500
995,4,1230,1,305,747,774,1,0,5,121600
996,5,1050,1,368,1050,1050,1,0,6,136500
997,6,1442,2,615,1442,1442,2,0,6,185000
998,3,1077,1,210,1007,1077,1,0,6,91000
999,7,1208,2,632,1187,1208,2,0,6,206000
1000,3,944,2,528,0,944,1,0,4,82000
1001,5,691,1,216,691,691,1,0,4,86000
1002,8,1574,3,824,1574,1574,2,0,7,232000
1003,5,1680,2,528,1680,1680,2,0,8,136905
1004,7,1504,2,457,1346,1504,2,0,7,181000
1005,5,985,1,328,985,985,2,0,6,149900
1006,6,1657,2,484,1657,1657,2,0,7,163500
1007,4,1092,1,286,546,546,1,0,6,88000
1008,7,1710,2,550,1710,1710,2,1,7,240000
1009,5,1522,0,0,1008,1008,2,0,7,102000
1010,5,1271,1,312,720,720,2,0,7,135000
1011,5,1664,0,0,0,1664,2,0,8,100000
1012,6,1502,1,180,602,900,1,0,7,165000
1013,5,1022,1,280,1022,1022,1,0,4,85000
1014,6,1082,1,240,1082,1082,1,0,5,119200
1015,8,1665,2,528,810,810,2,0,6,227000
1016,7,1504,2,478,1504,1504,2,0,6,203000
1017,8,1360,2,565,1220,1360,1,0,4,187500
1018,7,1472,2,402,384,802,2,0,7,160000
1019,7,1506,2,440,1362,1506,2,0,6,213490
1020,4,1132,2,451,1132,1132,1,0,5,176000
1021,7,1220,2,632,1199,1220,2,0,6,194000
1022,5,1248,1,160,912,912,1,0,6,87000
1023,7,1504,2,437,1346,1504,2,0,7,191000
1024,8,2898,2,665,1565,2898,2,0,10,287000
1025,5,882,2,461,882,882,1,0,5,112500
1026,5,1264,2,461,1268,1264,1,0,6,167500
1027,8,1646,3,800,1638,1646,2,0,7,293077
1028,5,1376,1,240,768,968,1,0,6,105000
1029,6,1218,1,264,672,672,1,0,7,118000
1030,5,1928,0,0,686,948,2,0,10,160000
1031,7,3082,2,672,824,1687,2,0,12,197000
1032,8,2520,3,796,1338,1352,2,0,10,310000
1033,7,1654,3,900,1654,1654,2,0,6,230000
1034,5,954,1,240,920,954,1,0,5,119750
1035,4,845,1,290,0,845,1,0,5,84000
1036,9,1620,3,912,1620,1620,2,1,6,315500
1037,8,2263,2,905,1055,1055,2,0,7,287000
1038,4,1344,0,0,546,798,1,0,6,97000
1039,4,630,1,286,630,630,1,0,3,80000
1040,5,1803,2,484,1134,1803,2,0,8,155000
1041,6,1632,2,484,800,800,1,0,7,173000
1042,6,1306,2,624,1306,1306,2,0,5,196000
1043,7,2329,2,514,1475,1532,2,0,10,262280
1044,8,2524,2,542,2524,2524,2,0,9,278000
1045,3,1733,2,452,0,1733,2,0,8,139600
1046,9,2868,3,716,1992,1992,3,1,11,556581
1047,5,990,2,672,990,990,1,0,5,145000
1048,5,1771,2,336,0,1771,1,0,9,115000
1049,4,930,1,308,0,930,1,0,6,84900
1050,7,1302,2,436,1302,1302,2,0,6,176485
1051,7,1316,2,440,1316,1316,2,0,6,200141
1052,6,1977,2,540,816,1127,1,0,9,165000
1053,5,1526,1,364,1216,1526,1,0,7,144500
1054,8,1989,2,586,1065,1091,2,0,7,255000
1055,6,1523,2,478,1193,1523,2,0,7,180000
1056,7,1364,2,484,1364,1364,2,0,6,185850
1057,7,1850,2,467,973,979,2,0,7,248000
1058,9,2184,3,836,1104,1130,2,1,10,335000
1059,6,1991,2,432,854,1096,1,0,7,220000
1060,8,1338,2,582,1338,1338,2,0,6,213500
1061,3,894,3,1248,894,894,1,0,6,81000
1062,5,2337,2,560,662,1422,2,0,10,90000
1063,6,1103,2,440,1103,1103,1,0,5,110500
1064,5,1154,2,480,1154,1154,1,0,6,154000
1065,7,2260,2,533,1306,1306,2,1,7,328000
1066,6,1571,2,380,799,799,2,0,7,178000
1067,6,1611,2,442,780,798,1,0,7,167900
1068,6,2521,2,576,942,1291,2,0,10,151400
1069,5,893,2,576,845,893,1,0,4,135000
1070,5,1048,1,286,1048,1048,1,0,6,135000
1071,6,1556,2,441,727,829,1,0,8,154000
1072,5,1456,1,280,810,1002,1,0,7,91500
1073,6,1426,2,440,690,698,1,0,6,159500
1074,7,1240,3,826,1240,1240,2,0,5,194000
1075,7,1740,1,240,800,960,1,0,6,219500
1076,5,1466,2,566,796,1096,2,0,7,170000
1077,5,1096,1,299,1096,1096,1,0,6,138800
1078,6,848,2,420,848,848,1,0,3,155900
1079,5,990,1,299,990,990,1,0,5,126000
1080,6,1258,2,528,1258,1258,2,0,5,145000
1081,5,1040,1,308,1040,1040,1,0,5,133000
1082,7,1459,2,527,1459,1459,2,0,6,192000
1083,6,1251,1,461,1251,1251,1,0,6,160000
1084,6,1498,2,409,691,691,2,0,6,187500
1085,6,996,2,564,936,996,1,0,5,147000
1086,4,1092,1,286,546,546,1,0,6,83500
1087,8,1953,3,1043,1082,1082,2,0,9,252000
1088,7,1709,2,380,970,970,2,0,7,137500
1089,8,1247,2,550,1247,1247,1,0,4,197000
1090,3,1040,2,400,0,1040,2,0,6,92900
1091,7,1252,2,462,600,624,2,0,4,160000
1092,6,1694,2,576,1181,1390,2,0,7,136500
1093,5,1200,2,884,864,1200,1,0,6,146000
1094,5,936,1,308,936,936,1,0,4,129000
1095,6,1314,2,440,1314,1314,2,0,6,176432
1096,6,1355,0,0,684,773,1,0,7,127000
1097,8,1088,2,461,1074,1088,1,0,5,170000
1098,4,1324,1,240,672,757,1,0,6,128000
1099,7,1601,2,478,1271,1601,2,0,7,157000
1100,2,438,1,246,290,438,1,0,3,60000
1101,5,950,1,280,950,950,1,0,5,119500
1102,5,1134,1,254,1010,1134,1,0,6,135000
1103,6,1194,2,539,655,1194,1,0,6,159500
1104,5,1302,2,440,630,630,2,0,6,106000
1105,8,2622,2,712,1463,1500,2,1,9,325000
1106,7,1442,2,719,910,1442,2,0,6,179900
